Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2000-01-26,2000-02-29,TATAPOWER,BUY,1854,4.63,5.25,1145.65,1141.99
2000-04-05,2000-04-21,TATAPOWER,SELL,1800,3.79,4.2,731.83,729.25
2000-05-24,2000-06-06,TATAPOWER,SELL,2808,3.16,2.74,-1173.19,-1176.97
2000-07-21,2000-08-22,TATAPOWER,BUY,1885,5.15,5.14,-29.34,-33.22
2000-08-28,2000-09-29,TATAPOWER,BUY,1910,5.26,4.31,-1819.38,-1823.03
2000-10-24,2000-11-30,TATAPOWER,SELL,1939,3.99,3.06,-1798.72,-1802.17
2001-05-16,2001-05-22,TATAPOWER,BUY,902,8.08,8.55,429.6,426.6
2001-06-11,2001-09-06,TATAPOWER,BUY,950,8.87,7.34,-1449.69,-1452.77
2001-10-31,2001-11-12,TATAPOWER,SELL,1413,6.65,5.33,-1870.65,-1874.78
2001-12-06,2001-12-11,TATAPOWER,BUY,1258,8.46,9.04,731.17,726.77
2001-12-17,2002-02-19,TATAPOWER,BUY,1113,8.26,8.71,492.36,488.58
2002-02-25,2002-03-27,TATAPOWER,BUY,1349,8.52,7.4,-1515.86,-1520.15
2002-04-17,2002-06-06,TATAPOWER,SELL,1872,7.53,6.63,-1681.21,-1687.19
2002-10-23,2002-11-29,TATAPOWER,SELL,2625,6.64,6.05,-1557.51,-1564.8
2002-12-19,2002-12-24,TATAPOWER,BUY,2306,7.01,7.44,979.54,972.87
2003-01-10,2003-01-21,TATAPOWER,BUY,2285,7.51,7.67,362.06,355.12
2003-01-29,2003-02-05,TATAPOWER,BUY,2042,7.61,7.92,647.1,640.76
2003-07-28,2003-08-05,TATAPOWER,BUY,1099,10.53,11.44,1002.71,997.89
2003-09-30,2003-10-09,TATAPOWER,BUY,699,13.05,14.37,917.39,913.56
2004-01-26,2004-01-28,TATAPOWER,BUY,271,26.92,28.78,504.02,501.01
2004-02-05,2004-04-06,TATAPOWER,BUY,275,26.81,29.13,636.92,633.84
2004-04-22,2004-05-12,TATAPOWER,BUY,423,28.92,23.86,-2137.51,-2141.98
2004-07-05,2004-09-07,TATAPOWER,SELL,438,17.24,14.06,-1393.43,-1396.73
2004-10-18,2004-11-23,TATAPOWER,BUY,589,22.76,24.27,885.8,880.26
2005-01-19,2005-02-16,TATAPOWER,BUY,325,27.19,30.37,1033.94,1030.2
2005-03-01,2005-03-23,TATAPOWER,BUY,460,29.54,25.74,-1744.47,-1749.55
2005-04-27,2005-07-05,TATAPOWER,SELL,451,25.24,21.57,-1656.53,-1661.42
2005-08-02,2005-08-08,TATAPOWER,BUY,428,30.06,31.84,763.32,758.02
2005-08-26,2005-09-01,TATAPOWER,BUY,397,32.06,33.46,555.89,550.69
2005-09-27,2005-10-03,TATAPOWER,BUY,386,33.52,35.74,856.25,850.9
2005-10-10,2005-10-21,TATAPOWER,BUY,333,35.0,27.27,-2574.34,-2578.49
2006-01-30,2006-02-01,TATAPOWER,BUY,453,33.83,34.75,417.31,411.09
2006-04-18,2006-05-22,TATAPOWER,BUY,280,43.85,39.13,-1320.64,-1325.29
2006-07-24,2006-09-29,TATAPOWER,SELL,214,34.22,27.09,-1527.74,-1530.97
2006-10-09,2006-11-23,TATAPOWER,BUY,270,40.42,42.77,634.06,629.57
2006-12-19,2007-01-24,TATAPOWER,BUY,223,44.79,47.27,552.14,548.03
2007-05-15,2007-06-22,TATAPOWER,BUY,215,43.53,47.87,932.38,928.45
2007-08-08,2007-09-07,TATAPOWER,BUY,174,53.9,56.28,415.61,411.78
2007-10-24,2007-11-05,TATAPOWER,BUY,43,81.55,98.8,741.86,740.31
2007-12-04,2007-12-31,TATAPOWER,BUY,61,97.75,110.29,765.17,762.64
2008-01-15,2008-01-22,TATAPOWER,BUY,63,117.15,86.64,-1921.74,-1924.31
2008-02-05,2008-04-25,TATAPOWER,BUY,47,106.5,102.69,-178.76,-180.73
2008-05-08,2008-05-20,TATAPOWER,BUY,72,104.22,106.65,175.26,172.23
2008-05-29,2008-06-05,TATAPOWER,BUY,80,106.5,85.38,-1689.35,-1692.42
2008-07-25,2008-09-19,TATAPOWER,SELL,61,76.27,76.55,16.55,14.69
2008-09-26,2008-09-30,TATAPOWER,SELL,95,77.62,97.09,1849.98,1847.4
2008-11-06,2009-03-04,TATAPOWER,SELL,61,55.33,58.04,165.48,164.16
2009-04-30,2009-05-19,TATAPOWER,BUY,111,68.8,84.3,1720.97,1717.57
2009-06-24,2009-07-28,TATAPOWER,BUY,80,87.22,97.11,790.66,787.71
2009-08-19,2009-08-28,TATAPOWER,BUY,86,97.0,104.9,679.62,676.14
2009-09-07,2009-10-16,TATAPOWER,BUY,102,101.4,107.79,651.5,647.23
2010-06-02,2010-08-25,TATAPOWER,SELL,132,97.55,95.44,-278.48,-283.68
2010-09-08,2010-10-04,TATAPOWER,SELL,182,99.48,89.5,-1816.72,-1824.33
2010-10-21,2010-11-26,TATAPOWER,BUY,154,108.78,100.13,-1331.34,-1337.77
2010-12-20,2011-01-31,TATAPOWER,SELL,133,101.55,105.09,470.34,465.04
2011-02-22,2011-02-25,TATAPOWER,SELL,121,98.06,103.17,618.62,614.0
2011-03-11,2011-05-06,TATAPOWER,SELL,125,93.1,89.36,-467.54,-472.29
2011-06-10,2011-08-09,TATAPOWER,SELL,179,96.3,100.47,746.93,740.18
2011-09-29,2011-11-24,TATAPOWER,SELL,130,79.97,87.93,1034.45,1030.5
2011-12-12,2011-12-13,TATAPOWER,SELL,130,76.25,82.54,818.29,814.49
